"course","result","hash"
"01-DataObservation-01-SingleVariable",TRUE,"ba4df14e033a34ca4ed377a0dc05878f"
"02-DataObservation-02-MultiVariables",TRUE,"3d7e98ffac6dd319a41e3272fd3f087f"
"03-RDataEngineer-01-Loading_n_Parsing",TRUE,"102824bb83845ea7778a634ef6272637"
"04-RDataEngineer-02-DataManipulation",TRUE,"17b8eb329fc9d6417917d0c1d1d524dd"
"05-RDataEngineer-03-Join",TRUE,"9b7f569b019d487900417144cc68c415"
"X1-Optional-01-ggplot2",TRUE,"00bd8078270d89452e13d95f489b646c"
"X2-Challenge-01-ChineseEncoding",TRUE,"18718483f8559eb05a3d9972e3521267"
"X3-Challenge-02-PirateVisualization",TRUE,"ddf0b7c89d88bfac9e5b55cf6ecce341"
"RDM-01-Association-Rule",TRUE,"8f06d72f1b9383a64d0a3096ff2fe62d"
"RDM-02-Supervised-Learning-01-Linear-Model",TRUE,"f9bc4ae33cb857e10b9c1385a14e31f9"
"RDM-03-Supervised-Learning-02-Generalized-Linear-Model",TRUE,"30f7554b428e1135a2fdc06031abc2e1"
"RDM-04-Unsupervised-Learning-01-Clustering",TRUE,"267a8c190801f1d8519a8493f660d0ce"
"RDM-05-Unsupervised-Learning-02-Classification",TRUE,"bdf658bfa580585eb75026ae05a8635b"
